Date,Open,High,Low,Close,Volume
2016-12-11,4089,4178,4080,4128,58303395
2016-12-10,3996,4085,3988,4055,57918194
2016-12-9,4068,4120,3942,3964,72695050
2016-12-8,4090,4194,4062,4134,94162358
2016-12-5,3900,4063,3893,4055,86442283
2016-12-4,3837,3875,3834,3855,21931163
2016-12-3,3838,3885,3814,3832,46116868
2016-12-2,3835,3858,3769,3841,57995140
2016-12-1,3743,3828,3714,3781,57609591
2016-11-28,3697,3749,3690,3708,45840714
2016-11-27,3636,3707,3602,3656,56521095
2016-11-26,3683,3755,3662,3665,48423890
2016-11-25,3824,3832,3677,3702,65379198
2016-11-24,3820,3850,3810,3822,31160951
2016-11-21,3859,3874,3801,3850,43620024
2016-11-20,3913,3919,3843,3854,41300906
2016-11-19,3861,3894,3770,3887,68854764
2016-11-18,3911,3925,3794,3855,63950791
2016-11-17,3843,3932,3825,3919,79994774
2016-11-14,3766,3849,3750,3805,73058424
2016-11-13,3730,3829,3692,3749,106066472
2016-11-12,3796,3831,3633,3680,154828679
2016-11-11,3565,3796,3532,3763,173582710
2016-11-10,3407,3563,3401,3543,124884870
2016-11-7,3377,3473,3356,3401,136028897
2016-11-6,3354,3488,3275,3436,365935212
2016-11-5,2632,2653,2605,2651,82635587
2016-11-4,2610,2630,2597,2613,28221534
2016-11-3,2599,2613,2572,2604,27526213
2016-10-31,2582,2611,2560,2588,46544938
2016-10-30,2675,2677,2612,2618,24806825
2016-10-29,2637,2678,2630,2665,21518463
2016-10-28,2639,2675,2601,2632,30817554
2016-10-27,2593,2643,2565,2628,24233957
2016-10-24,2574,2593,2555,2591,16537840
2016-10-23,2596,2600,2545,2581,26777354
2016-10-22,2558,2583,2547,2580,26721794
2016-10-21,2507,2549,2503,2548,30387889
2016-10-20,2447,2504,2442,2471,27073983
2016-10-17,2465,2466,2420,2437,20229451
2016-10-15,2422,2471,2415,2452,10404332
2016-10-14,2470,2477,2430,2441,18394008
2016-10-13,2497,2506,2462,2481,20582195
2016-10-10,2468,2498,2442,2488,96778879
2016-10-9,2424,2484,2421,2466,34694013
2016-10-8,2451,2465,2399,2416,29890205
2016-10-7,2414,2443,2404,2425,24719988
2016-10-6,2395,2411,2338,2394,40625948
2016-10-3,2459,2470,2405,2453,45826173
2016-10-2,2428,2474,2365,2390,42765586
2016-10-1,2420,2519,2410,2431,31790525
2016-9-30,2409,2469,2408,2421,36709004
2016-9-29,2391,2425,2375,2402,33664419
2016-9-26,2356,2389,2326,2363,30561387
2016-9-25,2372,2383,2326,2373,31189247
2016-9-24,2416,2426,2358,2377,26445790
2016-9-23,2403,2435,2400,2403,29676383
